time_sec,event_type,phase,broadcast_message,j_alert_message,seismic_intensity,tsunami_height,power_on,radio_working,rumble_intensity,siren_active
0,MainQuake,Shaking,,,7,0,true,true,0.8,false
180,PhaseChange,InfoGap,,,0,0,false,false,0.2,false
240,TsunamiWarning,WarningIssued,大津波警報が発表されました。予想高さ3メートル。高台に避難してください。,【緊急地震速報】大津波警報発表。予想高さ3m。至急高台へ避難。,0,3,false,true,0.1,true
300,FireTruckPatrol,WarningIssued,,,0,3,false,true,0.1,true
600,Aftershock,WarningIssued,余震に注意してください。避難を続けてください。,,5,3,false,true,0.5,true
840,Backwash,PreArrival,,,0,3,false,true,0.3,true
1200,WarningUpdate,PreArrival,津波が迫っています。直ちに高台に避難してください。,【緊急】津波接近中。直ちに高台へ。予想高さ6m以上。,0,6,false,true,0.6,true
1500,TsunamiArrival,FirstWave,,,0,6,false,true,0.9,true
1740,PhaseChange,FirstWave,,,0,6,false,true,0.9,true
1800,PhaseChange,MainWave,,,0,6,false,true,1.0,true
